1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;
1.336000;2.041000;2.241000;1.011000;0.706000;0.356000;0.706000;1.846000;1.351000;1.156000;0.751000;0.376000;1.041000;0.381000;0.726000;0.486000;1.046000;0.751000;0.241000;0.251000;0.831000;2.031000;0.626000;2.936000;1.026000;0.236000;0.716000;0.236000;1.076000;1.046000;0.296000;2.946000;1.531000;2.481000;1.521000;0.386000;1.046000;2.251000;0.381000;1.066000;0.471000;0.236000;1.051000;0.691000;2.246000;4.206000;0.251000;2.396000;1.996000;0.716000;0.711000;0.096000;2.466000;0.481000;1.046000;2.056000;4.781000;0.231000;1.571000;2.266000;2.476000;0.706000;0.706000;0.686000;1.036000;2.551000;7.976000;0.721000;0.486000;0.441000;2.251000;0.726000;0.726000;1.046000;0.226000;0.456000;0.721000;0.041000;4.281000;0.286000;0.446000;2.066000;3.131000;0.736000;0.701000;1.171000;1.021000;0.376000;0.736000;0.821000;2.481000;2.926000;2.236000;2.046000;0.476000;2.471000;0.461000;1.016000;0.516000;4.221000;0.731000;1.076000;2.471000;3.921000;0.236000;1.106000;3.436000;2.046000;1.076000;0.741000;0.741000;2.051000;2.471000;0.381000;0.706000;0.386000;0.436000;0.886000;2.266000;1.056000;0.691000;0.476000;0.731000;1.186000;0.716000;4.901000;1.341000;0.706000;0.251000;0.481000;2.546000;1.326000;1.341000;0.466000;1.021000;1.181000;1.051000;1.581000;2.461000;1.006000;0.736000;0.246000;4.286000;0.696000;0.236000;0.736000;1.181000;11.166000;2.461000;0.721000;0.701000;2.076000;2.051000;0.566000;0.241000;0.386000;2.256000;9.056000;0.826000;0.501000;0.716000;0.876000;0.741000;0.691000;0.706000;2.941000;0.301000;4.341000;4.356000;0.231000;0.381000;1.101000;1.016000;4.161000;0.241000;2.066000;0.246000;2.661000;0.701000;2.041000;2.486000;0.566000;1.061000;0.561000;0.696000;0.731000;0.711000;2.431000;1.016000;1.031000;0.251000;0.291000;1.026000;1.516000;1.341000;1.921000;2.481000;1.091000;0.461000;2.841000;0.741000;0.466000;1.536000;0.711000;0.566000;1.341000;0.931000;0.721000;2.091000;1.186000;0.386000;1.191000;0.386000;2.061000;4.291000;1.021000;2.266000;0.241000;1.031000;0.701000;0.906000;1.361000;0.491000;0.291000;0.241000;15.731000;0.246000;1.046000;0.391000;0.521000;3.846000;0.241000;4.251000;0.886000;0.706000;0.486000;3.901000;2.486000;1.091000;4.271000;1.021000;2.251000;0.386000;1.356000;1.586000;0.756000;1.046000;2.051000;3.171000;2.236000;
2.991000;2.056000;4.256000;2.481000;0.751000;0.391000;2.836000;2.391000;2.036000;2.251000;2.051000;0.486000;1.346000;2.951000;2.251000;1.041000;3.051000;2.941000;0.701000;1.356000;2.061000;4.246000;1.356000;7.426000;2.391000;3.981000;1.046000;0.731000;2.956000;2.646000;0.691000;4.181000;3.056000;4.171000;2.651000;3.151000;3.246000;3.161000;0.496000;1.096000;0.701000;15.766000;2.046000;2.471000;8.501000;4.211000;0.711000;2.436000;2.436000;2.236000;0.726000;7.466000;4.296000;2.486000;2.456000;4.236000;7.481000;0.241000;3.061000;4.196000;4.281000;4.261000;2.061000;4.206000;1.096000;2.651000;14.601000;4.311000;2.236000;1.081000;2.451000;4.216000;6.156000;2.656000;0.246000;0.746000;1.321000;0.736000;4.301000;0.716000;0.711000;2.651000;4.171000;3.136000;2.056000;3.836000;2.401000;4.231000;1.571000;2.466000;2.661000;3.956000;2.456000;3.151000;0.691000;2.491000;1.046000;2.401000;1.576000;10.331000;1.336000;1.351000;2.491000;4.241000;0.241000;2.071000;4.221000;2.551000;4.271000;1.186000;4.356000;2.826000;4.396000;4.191000;9.756000;3.161000;3.926000;2.061000;3.911000;2.476000;2.056000;1.526000;2.076000;1.576000;0.901000;11.126000;2.946000;1.011000;3.931000;0.711000;2.651000;2.461000;4.241000;1.041000;2.046000;2.641000;1.521000;2.956000;3.066000;2.476000;2.251000;0.301000;11.456000;2.061000;4.146000;2.066000;2.261000;11.311000;3.161000;2.081000;1.071000;4.191000;7.461000;2.046000;0.246000;4.256000;2.656000;9.491000;3.151000;1.016000;4.341000;8.551000;1.356000;2.471000;2.396000;2.951000;0.386000;4.891000;5.591000;2.081000;1.021000;2.501000;1.331000;4.191000;0.491000;3.156000;0.391000;2.991000;1.351000;4.266000;2.946000;0.711000;2.971000;2.611000;1.581000;2.081000;3.936000;3.166000;2.056000;3.841000;2.446000;1.021000;4.326000;3.061000;1.576000;2.931000;4.166000;1.336000;0.721000;3.911000;2.251000;1.341000;2.051000;4.336000;1.341000;4.261000;1.356000;3.946000;3.901000;2.186000;0.706000;2.061000;0.426000;2.486000;4.306000;2.951000;2.911000;0.361000;4.366000;1.101000;1.056000;1.576000;0.886000;0.741000;0.786000;16.351000;0.451000;1.341000;2.476000;0.711000;3.876000;0.446000;4.801000;3.186000;2.266000;2.246000;4.321000;2.976000;1.526000;4.951000;1.026000;2.256000;2.051000;1.636000;2.066000;4.216000;2.481000;2.401000;3.251000;2.241000;
3.121000;2.251000;4.326000;4.176000;3.916000;1.341000;4.186000;4.276000;2.181000;3.886000;3.131000;2.046000;1.581000;4.171000;2.471000;2.051000;3.086000;4.221000;7.431000;10.411000;2.466000;4.601000;4.271000;7.466000;4.326000;4.321000;3.906000;4.181000;5.091000;4.421000;1.051000;4.241000;3.971000;7.271000;8.206000;4.231000;5.986000;4.266000;1.361000;1.351000;4.256000;16.126000;2.261000;2.956000;12.806000;4.251000;3.141000;2.981000;6.546000;2.906000;0.881000;11.306000;5.981000;3.936000;3.876000;4.311000;10.191000;2.471000;3.771000;4.326000;4.791000;6.131000;2.201000;4.306000;3.671000;3.151000;19.831000;4.791000;4.251000;4.286000;2.471000;10.661000;7.226000;10.336000;2.391000;1.046000;6.846000;4.251000;4.676000;1.046000;0.741000;7.471000;4.276000;3.976000;3.946000;3.916000;4.186000;5.361000;2.081000;3.156000;4.271000;6.191000;4.151000;5.581000;4.246000;9.511000;1.176000;4.236000;2.656000;11.186000;2.251000;3.911000;3.891000;4.676000;2.976000;2.256000;4.276000;4.226000;9.136000;2.066000;11.506000;4.466000;10.656000;8.476000;18.496000;4.161000;10.416000;4.316000;6.151000;4.176000;2.646000;3.126000;4.246000;2.481000;1.086000;13.661000;3.136000;1.041000;8.916000;3.181000;3.951000;2.471000;4.461000;1.346000;2.466000;4.241000;2.951000;4.181000;3.161000;4.291000;3.156000;0.381000;14.566000;12.871000;4.186000;2.256000;4.261000;12.826000;4.286000;2.486000;2.476000;5.611000;14.606000;7.276000;7.441000;4.771000;3.661000;11.826000;10.981000;1.076000;8.576000;9.141000;3.896000;8.081000;2.476000;4.871000;0.701000;7.271000;10.656000;5.086000;2.656000;4.256000;3.956000;7.946000;4.196000;4.171000;0.481000;3.886000;2.441000;4.796000;3.896000;1.566000;3.166000;2.961000;3.941000;2.941000;4.156000;4.236000;2.456000;4.256000;4.271000;2.456000;4.906000;4.276000;2.246000;3.776000;6.136000;2.051000;4.161000;4.261000;3.901000;3.156000;2.656000;6.141000;1.586000;4.666000;2.471000;4.276000;4.781000;3.066000;2.391000;4.226000;0.836000;4.196000;7.416000;11.516000;3.096000;0.481000;4.766000;2.266000;4.196000;2.081000;1.046000;3.681000;1.201000;17.426000;0.486000;1.351000;2.976000;1.576000;6.846000;2.851000;5.391000;3.251000;2.661000;4.261000;4.796000;4.606000;4.226000;6.151000;4.246000;3.066000;2.261000;2.936000;2.991000;4.246000;4.901000;2.511000;4.196000;2.391000;
3.891000;2.476000;9.271000;4.351000;4.266000;2.246000;4.286000;7.946000;4.261000;4.796000;4.261000;2.056000;3.676000;4.176000;4.901000;2.846000;4.156000;8.131000;7.476000;10.656000;2.986000;7.406000;4.786000;15.001000;6.141000;8.841000;4.271000;4.231000;10.406000;5.586000;2.041000;10.451000;4.606000;9.121000;10.186000;4.271000;6.686000;4.281000;2.986000;4.261000;12.901000;17.766000;2.986000;4.351000;13.596000;4.356000;4.256000;4.891000;7.971000;4.191000;3.136000;12.786000;7.476000;12.856000;4.171000;4.796000;11.191000;4.241000;4.166000;4.776000;4.921000;7.471000;2.246000;11.451000;3.931000;9.126000;23.366000;9.261000;4.256000;4.901000;4.271000;11.846000;18.816000;11.516000;2.466000;2.256000;7.426000;13.696000;4.771000;8.551000;1.021000;8.551000;6.031000;4.291000;4.326000;4.186000;15.686000;6.226000;2.251000;4.466000;11.531000;6.891000;4.251000;7.471000;4.286000;13.031000;2.911000;4.306000;4.181000;12.831000;2.946000;4.171000;4.266000;6.366000;4.251000;2.476000;4.296000;4.266000;9.261000;3.131000;13.586000;6.681000;12.941000;8.841000;18.831000;4.336000;11.531000;7.451000;15.771000;6.146000;4.296000;10.141000;4.266000;4.266000;4.261000;14.041000;4.266000;3.181000;10.926000;5.381000;4.156000;4.276000;6.886000;2.231000;8.086000;4.286000;3.136000;4.216000;3.871000;4.331000;8.111000;0.421000;14.836000;13.251000;4.256000;4.331000;7.476000;14.396000;4.801000;2.491000;3.146000;7.456000;21.551000;12.156000;13.681000;7.976000;3.916000;12.341000;13.901000;1.086000;12.151000;11.171000;4.186000;8.521000;4.166000;8.421000;0.711000;7.476000;11.186000;7.961000;4.191000;10.636000;4.271000;8.546000;4.291000;4.301000;0.696000;5.991000;3.996000;10.411000;4.171000;2.051000;4.296000;4.791000;4.301000;4.161000;4.176000;4.266000;4.176000;7.966000;6.326000;3.846000;6.146000;4.306000;2.466000;5.371000;6.836000;5.386000;4.261000;4.281000;7.481000;4.301000;4.226000;6.151000;2.951000;5.381000;3.931000;4.396000;10.311000;4.681000;2.976000;4.271000;2.456000;4.361000;9.741000;11.851000;4.226000;0.631000;7.481000;2.401000;8.561000;2.251000;2.851000;4.331000;1.836000;18.506000;1.041000;2.461000;2.991000;3.961000;10.656000;4.196000;8.921000;4.171000;2.976000;4.296000;6.831000;6.076000;5.591000;8.526000;4.256000;3.071000;4.226000;2.971000;4.891000;4.251000;8.101000;4.326000;5.231000;3.186000;
4.216000;4.881000;10.086000;6.001000;4.271000;2.451000;4.296000;12.816000;4.346000;5.391000;8.116000;2.086000;4.306000;10.421000;5.016000;4.286000;4.246000;12.356000;8.836000;15.696000;5.586000;7.416000;4.871000;15.736000;7.951000;9.056000;4.321000;4.291000;12.826000;8.201000;2.506000;11.511000;6.041000;12.846000;11.136000;11.826000;7.981000;4.296000;3.161000;10.671000;14.971000;20.416000;3.926000;9.266000;14.576000;4.911000;4.601000;6.841000;10.086000;4.906000;4.246000;19.141000;7.996000;14.046000;4.246000;8.516000;11.301000;7.051000;4.666000;4.896000;5.356000;15.151000;2.651000;13.641000;4.191000;9.506000;25.336000;9.496000;4.321000;7.486000;4.291000;12.836000;19.261000;11.646000;3.936000;3.156000;7.941000;15.711000;6.171000;12.491000;1.091000;9.501000;8.131000;9.261000;9.986000;12.831000;21.676000;10.961000;4.266000;4.876000;15.846000;8.556000;4.306000;7.866000;4.901000;13.221000;4.226000;7.956000;4.251000;15.001000;3.156000;4.311000;4.906000;11.586000;8.836000;4.876000;9.131000;4.661000;10.416000;3.666000;14.556000;11.416000;13.641000;17.421000;20.421000;4.351000;12.906000;9.276000;19.266000;7.451000;4.756000;12.501000;7.276000;4.316000;7.436000;14.556000;8.126000;4.241000;15.416000;6.146000;4.666000;5.581000;11.131000;4.196000;11.871000;5.366000;3.161000;4.236000;3.926000;5.621000;13.231000;9.221000;17.506000;14.561000;6.366000;5.361000;9.246000;15.301000;8.551000;3.901000;4.426000;10.681000;23.456000;12.861000;15.691000;10.941000;4.246000;13.666000;15.991000;2.241000;13.686000;15.911000;4.296000;9.521000;4.201000;13.326000;5.241000;8.536000;11.581000;8.576000;4.211000;13.066000;4.801000;9.486000;12.946000;4.311000;2.241000;7.431000;4.251000;10.876000;4.221000;2.656000;4.321000;8.611000;4.596000;4.221000;6.326000;4.301000;4.271000;7.986000;7.431000;3.946000;7.436000;7.436000;3.091000;13.261000;7.481000;11.181000;6.141000;4.771000;7.976000;4.356000;4.911000;6.331000;4.666000;6.366000;4.311000;5.376000;14.966000;4.796000;5.086000;11.826000;4.166000;4.911000;13.281000;14.576000;4.246000;2.061000;10.086000;4.156000;9.491000;2.551000;4.266000;5.481000;4.216000;21.106000;1.096000;2.661000;5.361000;4.181000;11.196000;4.261000;10.461000;4.271000;7.481000;4.306000;10.336000;6.326000;5.616000;13.231000;4.351000;3.131000;4.296000;5.596000;9.201000;8.121000;13.726000;6.356000;10.986000;4.681000;
4.361000;6.806000;11.181000;6.361000;4.291000;4.181000;4.906000;13.261000;8.511000;5.981000;9.491000;4.211000;4.776000;10.671000;8.506000;9.256000;4.331000;12.831000;9.391000;15.966000;5.796000;7.431000;4.906000;15.911000;10.426000;10.076000;6.211000;5.371000;15.741000;11.181000;4.296000;16.131000;6.201000;14.011000;12.871000;12.816000;9.216000;8.561000;3.941000;11.881000;19.281000;20.426000;4.291000;9.506000;14.606000;6.131000;4.786000;9.996000;15.856000;5.376000;4.266000;19.611000;12.026000;14.531000;4.256000;8.566000;12.916000;7.991000;10.966000;5.086000;5.801000;16.886000;3.146000;14.841000;4.251000;11.846000;25.681000;11.536000;4.331000;9.516000;4.891000;13.231000;19.921000;12.356000;4.191000;4.201000;8.001000;19.611000;6.626000;14.601000;4.241000;10.071000;10.331000;12.486000;10.931000;13.246000;23.511000;12.821000;15.416000;8.096000;15.901000;10.146000;4.351000;7.986000;5.376000;14.046000;4.281000;11.631000;4.276000;15.916000;4.221000;4.761000;7.191000;13.646000;11.196000;8.426000;9.266000;4.781000;11.176000;9.511000;15.681000;12.811000;14.041000;20.261000;22.271000;7.466000;13.236000;10.651000;19.301000;7.926000;5.081000;12.836000;9.161000;4.671000;11.831000;14.581000;8.531000;4.266000;15.771000;7.471000;5.366000;11.876000;11.411000;4.246000;12.846000;5.991000;4.226000;7.481000;5.576000;15.991000;13.256000;9.401000;18.371000;14.586000;7.481000;5.386000;10.146000;15.976000;10.986000;4.266000;4.771000;11.826000;23.461000;13.251000;16.116000;12.906000;4.271000;15.701000;19.016000;4.291000;14.016000;17.276000;4.356000;9.996000;4.301000;14.616000;7.416000;8.576000;12.156000;8.846000;4.321000;14.036000;12.861000;9.566000;13.246000;5.841000;2.386000;9.246000;4.256000;14.576000;4.246000;2.966000;8.546000;13.021000;6.391000;7.481000;11.186000;4.886000;6.356000;9.126000;9.271000;4.251000;11.576000;8.541000;3.881000;13.706000;8.571000;11.846000;7.951000;11.526000;7.991000;4.361000;10.176000;7.931000;4.796000;9.131000;7.416000;5.986000;15.721000;5.381000;7.486000;12.161000;4.206000;10.141000;13.661000;14.601000;5.381000;3.066000;10.426000;7.751000;14.586000;4.196000;11.541000;6.206000;4.246000;24.426000;1.351000;3.161000;6.141000;4.266000;11.666000;8.921000;11.826000;6.356000;8.576000;14.051000;10.426000;7.986000;6.331000;13.656000;7.441000;6.366000;4.331000;10.661000;10.001000;9.161000;13.801000;7.751000;16.131000;7.966000;
8.561000;8.011000;12.931000;12.096000;4.321000;7.916000;5.361000;15.731000;8.556000;10.456000;10.676000;4.251000;8.551000;12.881000;11.871000;9.266000;4.356000;13.226000;10.636000;16.951000;8.006000;7.481000;5.376000;19.926000;12.801000;11.536000;8.011000;6.136000;18.591000;12.351000;6.141000;16.771000;7.196000;15.711000;13.231000;15.411000;12.861000;9.511000;5.381000;13.211000;19.596000;20.436000;4.896000;14.861000;14.866000;8.546000;9.241000;11.626000;16.826000;6.141000;5.616000;21.546000;12.801000;16.961000;4.351000;10.651000;12.921000;9.981000;11.841000;10.626000;8.706000;16.971000;4.791000;15.416000;4.321000;13.661000;27.926000;11.836000;4.766000;10.631000;6.331000;13.696000;20.326000;13.661000;4.266000;4.266000;8.561000;19.636000;8.071000;14.861000;5.376000;14.576000;15.961000;14.046000;12.936000;15.461000;25.046000;12.876000;15.966000;13.256000;15.976000;11.176000;13.221000;9.126000;7.991000;14.961000;8.621000;14.571000;4.666000;15.976000;4.226000;5.371000;12.821000;13.686000;14.576000;10.441000;12.361000;7.416000;11.341000;11.181000;21.921000;13.261000;15.726000;20.431000;29.916000;8.541000;15.706000;12.096000;19.851000;8.571000;7.471000;13.256000;9.496000;6.046000;15.716000;14.856000;9.506000;4.286000;21.496000;7.481000;11.466000;12.146000;13.521000;5.381000;16.696000;6.206000;4.271000;9.506000;7.956000;21.156000;13.651000;10.936000;20.351000;17.721000;9.486000;8.521000;12.951000;17.421000;12.851000;4.291000;6.126000;12.821000;24.786000;14.841000;19.306000;15.751000;4.326000;15.921000;19.261000;4.786000;15.771000;18.586000;6.361000;10.191000;7.976000;15.891000;9.761000;15.691000;12.866000;10.081000;5.801000;14.746000;13.261000;12.851000;14.041000;10.406000;3.186000;10.081000;5.836000;14.596000;6.196000;4.211000;10.401000;14.226000;9.246000;8.416000;12.816000;7.476000;6.826000;9.396000;11.191000;4.346000;13.696000;9.131000;4.261000;14.866000;10.401000;14.591000;8.536000;12.871000;10.146000;8.016000;10.411000;7.966000;9.496000;10.191000;9.526000;6.146000;16.131000;6.046000;7.956000;12.866000;4.306000;10.951000;14.521000;14.846000;8.961000;3.166000;14.411000;7.976000;14.591000;4.276000;12.361000;7.856000;4.291000;26.206000;2.476000;4.296000;6.846000;4.271000;13.211000;9.131000;13.221000;8.576000;8.626000;15.911000;12.511000;8.006000;7.486000;14.576000;8.741000;9.131000;4.901000;11.591000;13.666000;9.501000;14.111000;8.006000;16.351000;9.996000;
9.051000;8.566000;13.236000;12.151000;10.956000;9.221000;7.421000;19.626000;9.521000;14.611000;11.181000;7.966000;9.496000;14.601000;13.021000;11.186000;7.746000;13.236000;15.896000;17.766000;12.866000;8.526000;6.141000;24.326000;13.246000;15.901000;9.161000;7.431000;19.266000;12.811000;6.321000;18.826000;9.501000;16.341000;13.256000;15.696000;14.046000;11.171000;7.426000;14.851000;20.226000;21.166000;6.831000;15.686000;15.136000;10.946000;10.306000;16.671000;19.096000;14.961000;7.471000;25.166000;13.666000;19.261000;7.046000;13.666000;12.976000;10.641000;12.816000;12.101000;12.851000;18.816000;7.181000;17.866000;7.476000;13.701000;27.976000;13.216000;4.781000;13.911000;6.821000;15.926000;21.346000;14.596000;6.851000;4.291000;9.266000;20.361000;10.416000;15.141000;7.461000;14.956000;16.126000;15.761000;13.066000;15.891000;25.476000;13.016000;19.256000;16.666000;16.571000;11.356000;14.956000;10.296000;9.221000;15.136000;10.411000;15.676000;6.036000;19.566000;8.121000;8.531000;12.846000;14.591000;14.761000;11.641000;13.661000;8.116000;14.046000;11.511000;22.971000;14.621000;18.826000;20.686000;40.401000;8.551000;15.741000;12.916000;19.911000;9.476000;9.491000;15.466000;14.581000;6.136000;16.991000;15.141000;11.521000;4.316000;22.176000;9.251000;12.826000;13.666000;13.591000;7.426000;19.046000;11.181000;4.296000;9.526000;10.396000;21.651000;15.496000;14.031000;21.351000;17.761000;11.861000;8.956000;13.636000;19.286000;14.571000;4.346000;6.351000;14.581000;27.981000;15.691000;21.556000;15.896000;4.346000;19.256000;19.616000;5.356000;19.021000;20.336000;13.256000;13.666000;10.646000;20.561000;12.911000;15.771000;13.226000;10.951000;7.471000;14.861000;13.271000;15.386000;14.571000;13.706000;4.261000;13.061000;12.016000;14.611000;7.186000;4.226000;10.651000;14.866000;13.256000;9.166000;14.591000;8.561000;7.481000;11.841000;12.151000;12.006000;14.841000;11.821000;4.301000;15.981000;10.651000;14.856000;9.211000;14.856000;11.931000;9.276000;11.536000;8.561000;9.506000;10.656000;11.576000;6.426000;19.466000;6.141000;13.241000;14.611000;7.991000;11.611000;15.716000;14.976000;9.166000;7.416000;14.601000;8.016000;15.771000;10.141000;12.996000;8.121000;7.466000;26.606000;3.911000;4.601000;7.466000;4.311000;14.856000;9.276000;13.351000;12.916000;8.831000;16.626000;12.821000;10.656000;10.426000;14.591000;9.056000;10.656000;6.001000;12.081000;13.706000;11.186000;14.841000;8.136000;19.061000;11.541000;
11.181000;10.411000;13.896000;13.266000;15.876000;9.276000;11.171000;21.506000;13.691000;15.141000;11.831000;9.266000;10.181000;20.346000;15.996000;11.816000;8.131000;15.916000;16.556000;19.411000;14.581000;9.481000;7.481000;24.346000;15.761000;15.906000;11.531000;10.421000;19.841000;13.216000;7.986000;19.116000;12.111000;18.821000;15.501000;15.741000;14.051000;12.111000;7.446000;14.966000;21.176000;22.166000;7.471000;15.706000;15.696000;14.986000;11.826000;18.011000;19.911000;15.736000;8.121000;31.306000;14.986000;21.501000;7.411000;15.146000;14.401000;11.856000;12.831000;14.516000;12.866000;18.821000;7.466000;18.816000;7.481000;15.906000;28.841000;14.406000;7.966000;15.901000;8.716000;18.001000;21.686000;15.966000;7.946000;11.311000;10.631000;20.706000;13.261000;15.911000;7.921000;15.976000;19.596000;18.261000;14.026000;16.126000;27.921000;14.591000;19.276000;21.301000;20.701000;12.336000;15.766000;10.651000;10.301000;15.851000;15.476000;15.721000;8.561000;19.581000;12.851000;9.196000;14.586000;14.596000;19.286000;13.026000;13.901000;11.176000;17.076000;12.836000;24.346000;18.001000;20.426000;22.281000;40.826000;8.621000;15.886000;13.631000;25.076000;11.856000;12.091000;15.706000;14.606000;7.191000;18.236000;15.921000;14.571000;12.841000;24.346000;11.181000;14.611000;14.456000;17.761000;9.216000;19.246000;11.821000;7.476000;10.181000;12.841000;21.671000;15.896000;16.096000;26.206000;21.576000;12.086000;9.271000;15.761000;20.726000;14.606000;7.971000;7.266000;14.846000;28.816000;15.961000;21.566000;15.976000;5.996000;20.441000;19.621000;6.141000;20.681000;21.546000;13.661000;14.616000;10.941000;23.901000;14.021000;15.926000;14.851000;15.921000;8.571000;18.786000;13.651000;18.841000;14.756000;14.561000;7.476000;13.241000;13.256000;15.901000;9.501000;7.431000;12.841000;20.556000;13.666000;10.446000;15.701000;12.896000;7.976000;13.261000;13.256000;12.896000;17.081000;12.356000;5.581000;19.046000;13.251000;15.381000;9.526000;15.886000;13.671000;11.831000;15.421000;10.761000;10.191000;11.056000;14.591000;7.431000;19.856000;6.441000;15.701000;14.966000;9.221000;11.951000;15.941000;15.921000;13.221000;7.951000;16.666000;14.586000;23.896000;13.671000;13.666000;11.186000;9.496000;28.851000;4.216000;4.781000;10.191000;7.481000;15.556000;9.986000;15.151000;15.701000;9.266000;17.766000;12.841000;13.671000;10.456000;14.621000;11.531000;11.416000;7.951000;12.111000;15.721000;11.421000;15.501000;8.576000;19.101000;11.836000;
11.186000;11.876000;14.771000;14.591000;15.986000;13.206000;12.911000;21.801000;14.866000;15.416000;12.816000;13.246000;12.106000;24.341000;16.001000;12.006000;8.556000;19.401000;19.606000;19.631000;19.261000;9.491000;8.556000;24.651000;16.406000;17.986000;11.591000;10.641000;19.916000;13.661000;12.811000;20.556000;12.831000;19.586000;15.676000;17.646000;16.106000;13.216000;12.801000;15.701000;21.551000;23.141000;9.266000;15.711000;15.986000;15.701000;12.506000;19.036000;21.151000;15.891000;12.821000;35.261000;15.971000;21.561000;7.421000;15.726000;17.681000;13.241000;13.236000;14.591000;14.586000;18.971000;12.821000;19.591000;8.556000;20.561000;31.866000;14.416000;10.186000;15.906000;10.406000;19.601000;21.956000;18.581000;12.916000;11.831000;11.571000;23.136000;16.111000;15.976000;13.696000;18.236000;21.916000;18.581000;16.126000;17.486000;27.991000;15.906000;19.691000;22.701000;20.711000;14.511000;17.041000;11.866000;10.646000;18.816000;15.916000;16.001000;8.731000;21.291000;13.656000;10.406000;14.616000;15.966000;19.616000;13.261000;16.576000;12.811000;17.871000;12.881000;24.941000;21.021000;21.791000;25.116000;41.436000;9.216000;15.896000;14.416000;25.116000;12.796000;12.791000;17.646000;15.901000;7.461000;19.846000;15.936000;14.966000;15.411000;25.356000;12.086000;15.991000;15.401000;17.786000;9.506000;19.856000;15.701000;11.821000;10.186000;14.566000;22.901000;15.936000;19.026000;31.856000;24.711000;13.656000;9.511000;18.271000;21.951000;15.691000;12.876000;8.551000;14.851000;29.906000;17.216000;21.916000;16.551000;7.411000;21.556000;28.826000;7.476000;23.266000;22.421000;14.246000;14.966000;12.031000;24.331000;14.036000;19.261000;14.861000;16.121000;10.076000;22.686000;14.586000;21.666000;15.756000;14.576000;7.971000;14.041000;17.726000;17.996000;14.611000;9.516000;12.876000;23.696000;15.146000;11.181000;15.746000;13.701000;8.556000;13.636000;14.591000;14.571000;19.606000;12.836000;10.141000;19.606000;14.571000;17.651000;13.256000;15.966000;21.961000;14.046000;17.286000;12.851000;11.186000;12.506000;16.006000;7.716000;21.296000;7.191000;19.621000;14.996000;18.786000;15.701000;15.996000;17.276000;13.696000;9.226000;18.836000;14.966000;24.711000;14.571000;14.411000;11.591000;10.196000;29.666000;4.256000;6.141000;13.261000;9.866000;16.956000;10.421000;15.591000;19.856000;9.271000;19.601000;14.601000;15.426000;10.651000;15.421000;13.666000;12.101000;13.361000;13.236000;15.901000;12.111000;15.906000;8.846000;19.131000;13.661000;
