1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;
0.656000;0.181000;1.156000;0.666000;0.666000;0.676000;0.661000;0.626000;1.151000;0.136000;0.636000;0.631000;1.051000;0.206000;1.471000;0.161000;1.886000;0.991000;1.346000;0.166000;0.221000;1.476000;1.481000;1.476000;0.666000;0.636000;0.666000;0.671000;0.226000;1.026000;0.691000;0.661000;0.436000;2.256000;0.191000;0.631000;0.216000;0.196000;0.231000;0.661000;0.226000;1.001000;0.666000;0.651000;0.216000;0.641000;0.681000;0.966000;0.671000;0.991000;0.631000;0.656000;0.341000;0.631000;0.176000;0.986000;0.686000;1.551000;0.221000;0.636000;1.951000;0.161000;0.661000;2.606000;2.576000;2.626000;0.196000;1.141000;0.666000;0.141000;0.676000;0.161000;0.636000;0.231000;0.156000;0.226000;0.641000;0.706000;0.616000;0.146000;1.166000;0.176000;0.211000;1.156000;0.186000;0.966000;0.191000;0.631000;1.921000;1.001000;3.596000;0.166000;0.176000;0.161000;0.651000;0.621000;1.176000;0.636000;1.806000;4.291000;0.631000;0.991000;0.826000;0.156000;0.641000;0.211000;0.656000;0.651000;0.216000;0.626000;0.656000;0.636000;0.171000;0.651000;0.971000;1.811000;0.201000;0.191000;0.671000;0.171000;0.666000;0.016000;0.986000;0.196000;0.206000;0.176000;1.051000;0.631000;0.631000;0.656000;0.171000;1.036000;0.216000;0.196000;1.181000;0.656000;0.626000;0.046000;1.466000;0.201000;0.156000;0.151000;1.476000;0.676000;0.636000;0.196000;0.641000;0.656000;0.196000;1.011000;0.691000;0.646000;0.621000;0.656000;0.656000;0.661000;0.736000;1.006000;0.651000;0.656000;0.856000;1.471000;1.481000;0.986000;3.026000;0.196000;2.436000;0.651000;0.206000;0.216000;0.651000;0.676000;0.381000;0.226000;2.596000;0.641000;0.991000;0.656000;1.151000;0.656000;0.651000;0.191000;0.641000;0.201000;2.621000;0.981000;0.201000;0.611000;0.991000;0.641000;0.236000;0.631000;0.661000;0.846000;0.141000;2.561000;0.666000;0.211000;0.666000;0.646000;0.441000;1.036000;0.656000;0.201000;0.236000;0.681000;0.641000;0.666000;1.856000;0.996000;0.661000;0.681000;0.241000;0.706000;0.636000;0.656000;0.676000;0.631000;1.506000;1.171000;0.636000;0.736000;0.146000;0.661000;0.166000;0.671000;0.346000;0.631000;0.091000;0.166000;0.631000;0.651000;0.651000;0.651000;0.681000;0.026000;0.656000;0.651000;0.236000;0.676000;1.481000;0.211000;0.651000;0.631000;0.891000;0.666000;0.611000;0.986000;1.896000;0.661000;
1.151000;0.801000;2.276000;0.681000;0.806000;2.371000;1.011000;1.056000;1.446000;0.636000;0.646000;0.666000;1.501000;0.641000;2.396000;0.201000;2.596000;1.916000;1.931000;1.491000;2.601000;1.956000;1.961000;1.491000;2.476000;0.651000;0.701000;1.056000;0.661000;2.716000;1.151000;1.471000;1.041000;2.606000;0.226000;0.666000;0.621000;0.646000;0.626000;1.491000;0.676000;1.876000;1.496000;1.176000;0.671000;0.651000;0.691000;0.981000;1.001000;4.261000;0.656000;0.661000;0.666000;1.011000;0.661000;1.471000;0.801000;2.616000;1.471000;1.366000;2.601000;0.231000;3.431000;2.626000;2.616000;3.026000;0.201000;2.201000;0.796000;0.671000;0.681000;0.211000;0.646000;1.151000;0.651000;1.056000;1.031000;1.481000;1.001000;0.646000;1.936000;0.661000;0.656000;1.316000;0.221000;0.971000;0.626000;0.646000;2.466000;1.066000;4.181000;0.221000;0.671000;0.666000;0.736000;0.636000;1.336000;1.476000;1.921000;4.311000;0.671000;3.481000;1.036000;0.626000;0.991000;0.231000;1.641000;0.676000;0.666000;0.661000;1.466000;0.646000;0.661000;0.971000;1.176000;1.886000;0.656000;0.631000;0.966000;0.651000;2.491000;0.636000;2.636000;0.651000;0.641000;1.496000;1.476000;0.646000;1.491000;2.391000;0.631000;1.486000;0.671000;0.646000;4.606000;1.461000;0.641000;0.171000;4.276000;0.666000;0.676000;0.671000;2.396000;1.506000;1.146000;0.206000;0.671000;1.966000;0.201000;1.486000;1.046000;2.611000;0.646000;0.661000;0.671000;1.006000;0.991000;1.016000;1.486000;1.481000;1.921000;2.756000;1.786000;1.911000;3.471000;0.651000;2.601000;1.476000;1.161000;3.971000;0.671000;1.496000;0.696000;0.621000;2.601000;1.796000;1.041000;1.006000;1.461000;0.661000;1.146000;0.646000;0.661000;1.006000;3.986000;1.371000;1.041000;0.986000;1.036000;0.676000;0.991000;2.696000;0.666000;1.006000;0.631000;2.731000;1.401000;0.626000;0.691000;1.541000;1.151000;1.901000;0.666000;0.676000;1.906000;1.481000;0.996000;0.681000;1.881000;1.036000;0.681000;1.956000;1.471000;0.971000;0.866000;0.661000;1.011000;1.396000;3.441000;2.621000;1.496000;0.831000;0.651000;1.011000;0.651000;0.706000;1.341000;0.986000;0.226000;1.421000;0.961000;0.801000;1.481000;1.916000;1.486000;0.196000;1.546000;1.041000;0.636000;1.371000;2.601000;0.631000;1.491000;1.006000;1.061000;1.051000;0.641000;1.491000;3.761000;1.491000;
1.571000;1.496000;2.616000;1.486000;1.021000;2.616000;1.146000;1.481000;1.491000;0.656000;0.661000;1.031000;1.786000;0.676000;2.616000;1.031000;2.621000;3.151000;2.431000;1.946000;2.616000;2.416000;2.611000;1.901000;2.486000;1.496000;1.016000;1.961000;0.666000;3.971000;1.526000;1.566000;1.511000;3.756000;0.606000;1.026000;0.646000;1.471000;4.661000;2.396000;1.961000;2.486000;2.611000;1.501000;0.676000;0.661000;1.176000;1.666000;1.366000;4.641000;0.716000;1.061000;2.611000;1.156000;0.791000;1.486000;1.476000;2.731000;1.481000;1.511000;2.621000;0.676000;3.991000;3.496000;3.001000;3.441000;0.661000;2.446000;1.011000;1.026000;1.336000;0.631000;0.831000;2.566000;2.471000;1.481000;1.481000;1.486000;1.476000;0.986000;1.951000;0.671000;0.671000;4.576000;0.671000;1.481000;0.996000;0.966000;3.986000;1.806000;4.311000;0.656000;1.506000;0.711000;1.471000;0.681000;1.476000;1.486000;2.591000;4.591000;1.141000;5.156000;1.806000;0.631000;1.521000;0.961000;4.896000;1.946000;0.996000;1.456000;1.481000;0.666000;1.396000;1.166000;1.491000;3.851000;2.506000;0.656000;1.001000;0.656000;3.741000;1.001000;2.696000;0.686000;0.646000;1.776000;1.511000;0.666000;1.501000;2.631000;0.661000;1.526000;1.396000;1.481000;4.981000;2.161000;0.656000;0.671000;5.151000;1.161000;0.981000;1.491000;3.971000;2.451000;1.171000;0.231000;0.986000;2.291000;0.636000;2.576000;1.751000;4.546000;0.651000;1.481000;0.676000;1.481000;1.176000;1.526000;1.506000;3.751000;2.886000;4.451000;2.896000;1.956000;4.571000;1.801000;2.621000;2.426000;1.471000;4.116000;1.146000;1.926000;1.011000;1.506000;2.611000;1.896000;1.491000;1.486000;2.751000;2.556000;1.161000;0.651000;0.731000;1.476000;4.031000;1.491000;1.781000;1.646000;1.501000;1.161000;1.031000;3.871000;1.036000;1.931000;0.661000;3.446000;1.901000;0.646000;3.831000;1.586000;1.341000;2.466000;2.586000;1.006000;3.796000;1.791000;1.036000;1.006000;2.696000;2.556000;1.526000;2.681000;3.451000;1.486000;1.396000;1.961000;1.491000;1.491000;4.871000;2.726000;2.636000;1.476000;0.996000;3.481000;1.156000;1.501000;2.566000;1.491000;0.636000;2.626000;1.941000;0.806000;1.811000;3.471000;1.501000;0.641000;1.756000;2.616000;0.971000;2.576000;3.436000;1.006000;1.956000;1.046000;1.166000;1.346000;1.036000;1.496000;3.996000;1.811000;
1.881000;1.531000;3.011000;1.966000;1.481000;4.306000;1.331000;1.496000;1.901000;0.666000;0.666000;1.051000;1.811000;1.026000;3.476000;1.496000;3.461000;3.446000;2.571000;2.636000;3.436000;3.506000;3.751000;1.921000;4.646000;1.511000;2.456000;2.206000;0.996000;3.996000;1.536000;1.756000;2.446000;3.981000;1.156000;1.486000;1.351000;2.446000;5.166000;2.481000;2.406000;2.576000;2.616000;2.681000;1.451000;2.486000;1.506000;2.476000;2.586000;4.861000;1.496000;1.816000;3.431000;1.496000;1.486000;1.506000;1.891000;3.831000;1.916000;1.881000;3.986000;1.491000;4.026000;3.806000;3.866000;4.291000;1.001000;2.476000;1.051000;1.486000;1.341000;0.796000;0.986000;2.631000;2.601000;2.281000;1.886000;1.546000;1.501000;1.881000;2.476000;0.966000;1.061000;5.141000;1.006000;2.286000;1.361000;1.371000;5.121000;1.811000;5.131000;0.996000;2.961000;0.886000;1.496000;1.491000;1.881000;1.491000;2.701000;5.006000;2.401000;5.406000;4.101000;0.666000;1.916000;1.346000;8.321000;1.951000;1.146000;1.486000;1.921000;1.491000;1.486000;2.681000;1.531000;3.956000;3.451000;1.491000;1.011000;1.501000;3.971000;1.071000;4.596000;0.996000;0.666000;1.881000;1.946000;0.671000;2.701000;3.031000;0.671000;1.971000;1.496000;1.491000;4.986000;3.486000;0.661000;1.371000;5.181000;1.341000;1.486000;1.516000;3.986000;2.751000;1.481000;0.651000;1.466000;2.481000;0.651000;2.591000;1.811000;4.836000;0.681000;1.486000;0.861000;1.516000;1.481000;1.806000;1.546000;4.306000;3.436000;4.606000;3.721000;1.961000;4.621000;3.981000;3.426000;2.611000;1.501000;4.571000;1.496000;1.931000;1.031000;1.911000;2.636000;4.286000;2.591000;1.496000;3.841000;2.726000;1.321000;0.656000;0.986000;1.481000;4.176000;1.926000;1.921000;1.921000;1.546000;1.496000;1.801000;4.516000;1.486000;2.621000;1.001000;4.061000;2.556000;0.656000;4.026000;2.606000;1.491000;2.616000;3.496000;1.151000;4.271000;1.941000;1.511000;1.176000;3.886000;4.491000;2.636000;4.291000;3.881000;1.501000;3.436000;2.401000;1.501000;1.891000;5.366000;3.451000;3.741000;2.561000;1.351000;4.126000;1.931000;1.961000;2.616000;1.766000;0.676000;2.716000;4.606000;1.496000;2.586000;3.661000;1.516000;0.646000;1.806000;2.621000;1.501000;2.616000;3.866000;1.481000;1.961000;1.501000;1.181000;1.506000;1.476000;1.901000;4.031000;1.971000;
1.936000;1.931000;3.961000;2.446000;1.486000;4.901000;1.341000;1.931000;1.911000;0.671000;0.676000;1.481000;1.906000;1.481000;3.726000;1.531000;3.831000;3.986000;2.716000;3.746000;3.731000;3.746000;3.761000;2.446000;4.901000;2.456000;2.491000;2.561000;1.481000;4.151000;1.801000;1.921000;3.736000;4.421000;1.506000;1.786000;1.501000;2.626000;5.376000;2.596000;2.466000;3.826000;2.636000;4.016000;1.966000;2.806000;1.931000;2.706000;2.641000;5.801000;1.916000;2.436000;3.476000;1.916000;1.926000;1.536000;1.916000;3.846000;3.486000;1.891000;4.321000;1.916000;5.001000;3.966000;4.846000;4.536000;1.171000;2.601000;1.911000;1.491000;1.941000;1.471000;1.506000;3.836000;2.626000;2.606000;4.021000;1.911000;3.371000;2.286000;2.546000;0.996000;1.516000;5.186000;1.481000;2.416000;1.496000;1.916000;5.341000;2.221000;5.891000;1.006000;3.661000;1.481000;1.906000;1.761000;1.946000;1.511000;3.371000;5.126000;2.581000;5.796000;5.016000;0.976000;3.976000;1.511000;8.911000;1.971000;1.476000;1.816000;2.446000;2.426000;1.501000;3.021000;1.881000;4.036000;3.966000;1.511000;1.151000;1.926000;4.511000;1.926000;4.856000;1.076000;0.981000;2.901000;2.501000;1.011000;3.416000;3.986000;1.046000;2.626000;3.476000;1.496000;5.296000;5.111000;1.471000;1.486000;5.196000;1.481000;1.491000;1.936000;4.566000;3.501000;1.766000;0.661000;1.746000;2.631000;1.021000;2.711000;2.606000;4.896000;1.001000;1.806000;1.456000;1.941000;1.521000;1.816000;1.591000;5.006000;3.751000;5.151000;5.146000;3.496000;5.101000;4.271000;4.021000;2.626000;2.436000;4.866000;2.481000;2.441000;1.756000;3.491000;2.726000;4.641000;2.706000;1.946000;4.631000;3.081000;1.476000;0.661000;1.371000;1.496000;4.186000;1.931000;2.286000;2.631000;1.781000;1.926000;2.581000;4.536000;1.916000;3.086000;1.486000;4.941000;3.976000;0.991000;4.596000;3.481000;1.921000;2.731000;3.696000;1.171000;4.561000;2.696000;1.816000;1.486000;4.276000;5.081000;3.756000;4.601000;4.271000;1.886000;3.491000;2.486000;1.766000;1.951000;5.396000;3.991000;3.971000;3.021000;1.481000;4.306000;3.476000;2.141000;3.011000;1.816000;1.476000;3.981000;4.951000;1.546000;4.026000;4.126000;1.946000;0.681000;1.811000;2.711000;1.931000;2.641000;3.976000;1.496000;2.431000;1.941000;1.591000;1.931000;2.491000;2.206000;4.561000;2.486000;
2.551000;2.226000;4.096000;2.461000;1.491000;4.911000;1.521000;1.951000;1.921000;0.676000;1.886000;1.486000;2.586000;1.486000;4.166000;2.471000;4.126000;4.026000;4.001000;3.836000;4.266000;3.981000;3.836000;2.601000;5.106000;2.711000;2.546000;2.591000;1.936000;4.561000;1.926000;2.996000;4.506000;4.606000;1.796000;1.796000;2.441000;3.006000;5.391000;3.456000;2.621000;3.841000;2.691000;4.941000;2.416000;3.016000;2.431000;3.486000;3.436000;5.881000;2.596000;2.601000;3.831000;1.921000;1.951000;1.951000;3.441000;4.936000;3.971000;1.911000;4.866000;3.791000;5.141000;3.976000;5.176000;5.146000;3.451000;2.616000;2.461000;1.856000;2.296000;1.476000;2.436000;3.976000;2.711000;2.621000;4.166000;1.956000;3.486000;2.421000;2.586000;2.441000;1.916000;5.881000;1.531000;2.441000;1.941000;1.931000;7.666000;3.456000;7.646000;1.471000;4.056000;1.811000;1.931000;1.916000;2.471000;2.441000;4.551000;5.136000;3.861000;8.371000;5.236000;0.996000;4.026000;1.811000;9.566000;2.411000;1.486000;1.941000;3.761000;2.636000;1.516000;3.841000;1.911000;4.566000;4.861000;1.946000;1.476000;1.961000;4.871000;2.421000;5.131000;1.501000;0.996000;3.996000;2.611000;1.046000;3.981000;4.266000;1.811000;3.971000;3.861000;1.541000;8.936000;5.186000;1.491000;2.611000;6.841000;1.491000;1.811000;2.426000;5.316000;3.971000;1.896000;0.676000;1.941000;2.671000;1.461000;3.286000;2.696000;5.106000;1.036000;1.941000;2.261000;1.961000;1.906000;1.951000;1.971000;5.146000;3.971000;7.661000;5.386000;3.761000;5.121000;4.881000;4.646000;4.291000;2.461000;4.946000;2.596000;3.376000;2.546000;3.786000;3.976000;4.856000;3.431000;1.951000;5.061000;3.771000;1.486000;2.576000;1.476000;1.906000;5.486000;1.951000;2.691000;4.626000;1.886000;2.621000;2.606000;4.671000;1.926000;4.161000;1.511000;5.241000;4.601000;1.006000;5.231000;4.116000;2.476000;3.971000;4.326000;1.341000;4.886000;3.446000;1.976000;1.516000;5.121000;5.116000;3.821000;5.121000;5.216000;1.941000;3.661000;3.151000;1.931000;1.966000;5.801000;4.516000;4.581000;5.186000;1.516000;4.581000;4.301000;2.481000;3.416000;1.941000;1.481000;4.096000;5.076000;1.956000;4.101000;4.896000;2.376000;0.696000;1.916000;3.976000;2.581000;3.371000;4.111000;1.956000;2.446000;2.436000;1.791000;2.226000;2.836000;2.716000;5.251000;2.621000;
2.621000;2.591000;4.566000;2.616000;2.621000;5.361000;1.751000;2.201000;1.931000;0.681000;2.446000;1.501000;2.691000;1.946000;4.676000;3.456000;4.501000;4.881000;4.856000;3.946000;4.301000;4.236000;3.961000;3.846000;5.116000;3.741000;2.581000;2.626000;1.971000;4.576000;1.956000;3.436000;7.236000;4.616000;3.361000;1.916000;2.616000;3.021000;6.551000;3.846000;3.151000;4.541000;3.456000;5.191000;2.621000;3.411000;2.436000;3.876000;3.451000;7.211000;3.976000;3.971000;4.576000;1.931000;1.956000;1.956000;3.461000;4.981000;4.286000;3.291000;4.996000;3.851000;5.191000;4.131000;5.231000;5.886000;4.276000;2.751000;2.466000;1.921000;2.401000;1.496000;3.476000;3.986000;3.366000;3.966000;4.171000;2.431000;4.306000;2.571000;2.601000;3.446000;1.926000;9.256000;1.791000;2.606000;2.421000;1.951000;9.551000;3.696000;8.316000;2.576000;4.976000;2.481000;2.401000;2.491000;2.601000;2.576000;4.656000;5.286000;4.281000;9.581000;5.376000;1.806000;4.581000;1.906000;9.916000;2.591000;1.491000;2.746000;3.846000;3.466000;1.966000;3.971000;2.431000;4.971000;5.046000;1.956000;1.516000;2.196000;5.126000;2.706000;5.146000;2.561000;1.476000;4.156000;2.631000;1.141000;4.011000;4.271000;1.916000;4.066000;4.026000;1.941000;9.586000;5.761000;1.901000;3.956000;7.231000;1.946000;1.896000;2.711000;5.386000;4.106000;1.951000;0.986000;1.966000;3.481000;1.806000;3.471000;4.001000;5.121000;1.171000;2.451000;2.611000;3.366000;2.571000;2.446000;2.591000;5.181000;4.596000;8.301000;5.851000;3.971000;5.186000;4.986000;5.796000;4.571000;2.566000;5.021000;2.621000;3.386000;2.686000;3.971000;5.076000;5.071000;4.096000;2.466000;5.131000;3.836000;2.616000;3.456000;1.876000;2.711000;9.556000;2.566000;2.706000;4.926000;3.496000;3.971000;3.361000;5.176000;2.626000;5.281000;1.791000;5.271000;4.941000;1.016000;5.401000;4.516000;2.491000;4.221000;4.601000;1.496000;5.001000;3.856000;2.491000;1.531000;7.171000;5.416000;4.031000;5.126000;5.401000;3.401000;4.991000;3.466000;1.936000;2.451000;5.856000;4.866000;4.646000;5.196000;1.896000;4.871000;4.516000;2.596000;3.876000;1.971000;2.446000;4.136000;5.361000;2.616000;4.646000;4.926000;3.386000;1.176000;2.786000;4.131000;4.116000;3.436000;5.021000;2.421000;2.596000;2.591000;2.411000;2.231000;3.496000;3.741000;5.256000;3.986000;
2.691000;2.701000;4.851000;2.636000;2.631000;5.886000;2.471000;2.586000;1.951000;1.136000;3.361000;1.901000;3.746000;2.606000;5.796000;3.986000;4.976000;4.946000;5.396000;4.066000;4.641000;4.296000;3.986000;4.281000;6.826000;4.586000;2.641000;3.851000;2.446000;4.611000;2.616000;3.476000;7.776000;4.831000;3.736000;2.436000;3.481000;4.266000;7.201000;4.486000;3.651000;4.856000;3.976000;7.441000;3.986000;3.866000;3.981000;3.951000;3.476000;7.236000;3.981000;3.981000;4.581000;2.436000;1.961000;2.441000;3.501000;5.366000;4.306000;4.011000;5.056000;3.961000;5.281000;4.301000;8.781000;6.796000;4.516000;3.781000;3.496000;2.561000;2.631000;1.931000;3.881000;4.111000;3.431000;4.161000;4.531000;2.596000;4.586000;4.051000;2.691000;3.451000;2.626000;9.906000;1.911000;2.621000;2.556000;3.431000;10.336000;4.661000;8.886000;2.611000;5.771000;2.631000;2.481000;2.541000;3.426000;2.601000;4.866000;5.326000;4.591000;9.841000;5.386000;1.851000;4.601000;1.946000;10.396000;2.621000;1.956000;3.426000;3.971000;3.976000;2.591000;3.981000;2.561000;5.111000;5.196000;1.961000;1.521000;2.496000;5.886000;3.436000;5.151000;3.416000;1.801000;4.281000;2.636000;1.501000;4.286000;4.291000;2.601000;4.216000;4.041000;3.441000;9.906000;5.766000;1.951000;3.976000;7.641000;2.586000;1.931000;3.416000;5.426000;4.126000;1.956000;1.001000;2.431000;3.511000;1.921000;4.101000;4.601000;7.446000;1.181000;2.456000;2.626000;3.471000;4.166000;2.586000;2.721000;5.286000;4.611000;9.831000;6.551000;3.986000;5.191000;5.096000;5.806000;4.591000;2.681000;5.056000;2.706000;4.681000;3.976000;4.061000;5.216000;5.356000;4.581000;2.551000;5.246000;3.951000;2.676000;3.971000;2.561000;2.716000;9.571000;2.696000;3.501000;5.191000;3.506000;4.286000;3.461000;5.236000;2.881000;5.876000;1.946000;5.366000;4.981000;1.341000;8.741000;4.551000;2.571000;4.881000;5.151000;2.441000;5.396000;4.491000;2.586000;1.816000;8.371000;5.836000;4.571000;5.391000;5.836000;3.836000;5.111000;3.661000;2.431000;2.631000;8.946000;4.871000;4.666000;5.401000;2.566000;5.146000;4.521000;3.776000;4.161000;2.206000;2.606000;4.291000;5.376000;3.986000;4.676000;5.141000;3.456000;1.391000;3.506000;4.516000;4.526000;3.481000;5.061000;2.621000;2.886000;3.506000;2.606000;2.406000;3.851000;3.946000;5.341000;4.056000;
3.981000;4.136000;4.861000;3.451000;3.956000;7.191000;2.581000;2.631000;1.956000;1.151000;3.971000;1.926000;4.856000;2.616000;7.201000;4.001000;5.006000;4.961000;5.886000;4.561000;5.116000;4.901000;4.301000;4.291000;7.191000;4.591000;3.476000;4.106000;3.491000;4.631000;2.706000;3.756000;8.736000;4.866000;4.091000;2.631000;3.496000;4.516000;7.611000;4.556000;3.966000;4.931000;4.141000;9.086000;3.991000;3.981000;4.046000;3.986000;3.741000;8.886000;4.111000;4.856000;4.961000;2.446000;3.481000;2.451000;3.946000;6.026000;5.131000;4.026000;5.136000;3.981000;5.311000;4.586000;9.541000;7.186000;4.551000;3.976000;3.826000;2.616000;2.716000;2.281000;3.981000;4.286000;3.971000;5.146000;4.596000;2.746000;4.876000;4.596000;3.521000;3.826000;3.481000;10.211000;1.941000;3.476000;3.691000;3.446000;10.366000;4.956000;8.891000;2.626000;7.641000;4.111000;2.581000;3.826000;3.451000;2.631000;4.906000;5.891000;4.646000;10.451000;5.801000;1.966000;4.856000;1.956000;10.546000;2.636000;2.461000;3.471000;4.056000;4.311000;3.846000;4.101000;2.596000;5.186000;5.236000;2.431000;1.771000;2.606000;7.186000;3.476000;5.176000;3.736000;1.896000;4.586000;3.006000;1.936000;4.571000;5.116000;3.951000;4.856000;4.541000;3.471000;10.446000;6.801000;2.596000;4.031000;8.911000;2.611000;2.701000;3.431000;5.496000;4.156000;2.606000;1.491000;2.571000;3.656000;1.941000;4.886000;5.206000;7.646000;1.761000;2.691000;3.436000;3.976000;4.511000;4.506000;4.296000;8.921000;5.151000;10.406000;7.221000;4.161000;5.366000;5.746000;7.161000;4.866000;3.436000;5.121000;2.711000;4.876000;3.981000;4.101000;5.271000;7.196000;4.951000;2.721000;7.216000;5.056000;3.796000;4.026000;4.161000;4.616000;10.256000;2.751000;3.976000;5.371000;3.996000;4.291000;3.501000;5.406000;3.431000;7.666000;1.951000;5.851000;5.061000;1.391000;8.886000;4.581000;2.751000;4.901000;5.356000;3.741000;6.846000;4.866000;2.611000;1.931000;8.796000;5.851000;4.576000;7.651000;6.821000;3.981000;5.146000;3.961000;2.446000;3.431000;9.086000;5.371000;4.876000;5.791000;2.606000;5.291000;4.546000;4.281000;4.581000;2.401000;3.796000;4.316000;7.211000;4.901000;4.856000;5.146000;3.786000;1.486000;3.826000;4.586000;5.201000;3.851000;5.256000;2.641000;2.931000;4.261000;2.636000;2.436000;3.991000;3.991000;5.446000;4.596000;
3.986000;4.601000;4.891000;5.026000;3.981000;7.276000;2.586000;3.486000;2.491000;1.166000;4.051000;2.441000;9.901000;2.701000;7.246000;4.016000;5.026000;5.116000;8.306000;5.041000;5.141000;5.101000;4.306000;4.581000;8.946000;4.851000;3.756000;4.556000;3.966000;4.896000;4.901000;3.976000;8.811000;4.876000;4.871000;2.701000;4.126000;5.116000;7.646000;4.586000;4.116000;5.126000;4.611000;9.541000;3.996000;4.021000;4.141000;4.506000;3.836000;9.821000;4.121000;4.866000;5.001000;2.596000;3.971000;2.596000;3.966000;6.046000;5.216000;5.036000;5.386000;4.591000;5.451000;4.866000;9.546000;9.591000;4.881000;3.991000;4.611000;2.621000;3.976000;3.726000;3.996000;4.856000;4.031000;5.286000;4.626000;3.486000;5.031000;4.851000;4.151000;3.871000;4.016000;11.176000;2.486000;3.966000;3.736000;3.981000;11.146000;5.146000;9.081000;3.091000;9.206000;4.301000;3.466000;3.991000;3.461000;2.636000;4.921000;9.261000;4.861000;10.751000;7.151000;2.416000;5.021000;2.431000;12.116000;2.676000;2.601000;3.506000;4.126000;5.141000;3.966000;4.116000;3.436000;5.231000;5.771000;2.441000;1.891000;2.736000;9.151000;4.306000;5.756000;3.971000;2.606000;5.376000;3.966000;2.436000;4.631000;8.166000;4.886000;4.921000;4.876000;3.491000;10.561000;7.186000;2.601000;4.091000;8.916000;2.626000;3.446000;3.441000;5.856000;4.566000;2.631000;1.501000;2.586000;3.751000;2.636000;5.116000;5.856000;9.346000;1.891000;3.426000;4.611000;4.111000;4.876000;4.926000;4.641000;9.071000;5.406000;10.706000;8.311000;4.281000;8.891000;7.776000;7.661000;5.421000;3.481000;5.216000;3.456000;5.356000;4.566000;4.306000;7.866000;7.231000;5.101000;3.441000;8.936000;5.201000;3.986000;4.271000;4.521000;4.846000;13.756000;3.996000;3.991000;5.846000;4.291000;4.576000;3.871000;6.541000;3.526000;8.351000;2.476000;7.666000;5.101000;1.466000;9.101000;4.586000;3.456000;5.131000;5.456000;4.676000;7.246000;4.941000;2.616000;2.421000;8.811000;6.751000;4.671000;8.871000;7.151000;4.091000;5.181000;4.036000;2.626000;3.761000;9.231000;5.781000;4.981000;7.221000;2.626000;7.056000;4.571000;4.286000;4.861000;2.696000;3.971000;4.556000;9.566000;5.106000;4.866000;5.291000;3.996000;1.916000;3.976000;4.636000;5.446000;3.866000;5.266000;2.741000;3.501000;4.321000;4.111000;2.761000;4.031000;4.071000;5.896000;4.981000;
